timestamp,gate_id,attendee_id,gender,age,pre_existing_medical_condition,ticket_status,wait_time_min,crowd_density_sq_m,security_personnel,police_presence,incident_reported,incident_type,injury_severity,emergency_called,response_time_min,first_responder_type,crowd_control_measures,entry_delay_min,social_media_mentions,panic_button_pressed,possible_death_cause,attempted_entry,location_category,exit_gate_status,communication_method,group_size,behavior_flag,mob_movement,evacuation_mode,duration_in_crowd_min,lat,lon,mode_of_transport,emotional_state
2024-05-04 16:03:24,Gate 7,1,Female,25,False,Invalid,28,4.49,7,5,False,None,None,False,0,None,Barricades,6,3,False,,False,St. Mark's Road (Food Stalls),Clear,Official Announcement,1,Normal,Pushing,No Evacuation,60,12.9714,77.6017,Metro,Excited
2024-05-04 20:28:36,Gate 13,2,Male,31,False,Valid,13,1.22,10,2,False,None,None,False,0,None,None,21,7,False,,True,At Gate Entrance,Clear,Official Announcement,1,Cooperative,Flowing,No Evacuation,147,12.9787,77.5998,Auto Rickshaw,Calm
2024-05-04 17:57:39,Gate 4,3,Female,24,False,Valid,22,1.61,4,1,False,None,None,False,0,None,None,8,3,False,,True,At Gate Entrance,Clear,Official Announcement,1,Normal,Pushing,No Evacuation,100,12.9787,77.5998,Cab/Ola/Uber,Excited
2024-05-04 18:11:09,Gate 8,4,Female,30,False,Invalid,0,0.0,0,0,False,None,None,False,0,N/A,None,0,2,False,,False,Watching from Home,N/A,N/A,1,Normal,Not Applicable,No Evacuation,0,,,None,Calm
2024-05-04 18:03:49,Gate 2,5,Male,19,False,Invalid,60,1.67,9,3,True,Stampede,Minor,True,12,Stadium Security,None,26,32,False,,True,Ticket Redemption Counter,Clear,Word of Mouth,5,Aggressive,Running Chaotically,Self-Walked,77,12.9783,77.5989,Bus,Angry
2024-05-04 18:07:29,Gate 2,6,Male,23,False,Valid,56,0.5,9,2,False,None,None,False,0,None,None,37,14,False,,True,Ticket Redemption Counter,Clear,Social Media,4,Agitated,Running Chaotically,No Evacuation,147,12.9783,77.5989,Metro,Terrified
2024-05-04 15:38:35,Gate 3,7,Female,34,False,Invalid,6,0.5,12,2,False,None,None,False,0,None,None,1,0,False,,False,Anil Kumble Circle,Clear,Official Announcement,6,Normal,Flowing,No Evacuation,51,12.9778,77.6015,Metro,Calm
2024-05-04 14:49:33,Gate 12,8,Female,25,True,Valid,2,3.06,12,3,False,None,None,False,0,None,Barricades,4,0,False,,True,Official Parking Area,Clear,Official Announcement,4,Normal,Flowing,No Evacuation,42,12.9765,77.598,Cab/Ola/Uber,Excited
2024-05-04 17:13:37,Gate 6,9,Male,27,False,Invalid,22,4.18,8,3,True,Scuffle,None,False,0,Stadium Security,Barricades,12,6,False,,False,Inside Cubbon Park (Near Stadium),Clear,Official Announcement,4,Normal,Pushing,No Evacuation,11,12.9779,77.5958,Walking,Excited
2024-05-04 16:18:03,Gate 4,10,Female,25,False,Valid,28,3.87,3,5,True,Panic,Major,True,4,Paramedic,Barricades,18,3,True,,True,Cubbon Park Metro Station Exit,Clear,Social Media,4,Anxious,Pushing,Stretcher,35,12.9811,77.5968,Car,Excited
2024-05-04 16:10:17,Gate 7,11,Female,35,False,Valid,42,1.09,2,4,False,None,None,False,0,None,None,12,3,False,,True,Queen's Road (Towards Gate 1),Clear,Official Announcement,1,Normal,Flowing,No Evacuation,25,12.9805,77.5995,Cab/Ola/Uber,Excited
2024-05-04 16:57:45,Gate 2,12,Female,22,False,Invalid,25,7.0,5,8,False,None,None,False,0,None,Barricades,6,7,False,,False,Main Queue Line,Clear,Official Announcement,1,Normal,Pushing,No Evacuation,24,12.9791,77.6005,Bus,Excited
2024-05-04 16:16:22,Gate 7,13,Male,19,False,Invalid,36,6.58,2,1,False,None,None,False,0,None,Barricades,15,1,False,,False,Ticket Redemption Counter,Clear,Official Announcement,3,Normal,Pushing,No Evacuation,90,12.9783,77.5989,Bike,Excited
2024-05-04 14:29:06,Gate 11,14,Female,22,False,Valid,9,0.5,4,7,False,None,None,False,0,None,None,4,0,False,,True,Inside Police Cordon,Clear,Official Announcement,2,Normal,Flowing,No Evacuation,216,12.9784,77.5994,Auto Rickshaw,Excited
2024-05-04 18:09:10,Gate 3,15,Female,21,False,Valid,61,0.5,9,8,True,Stampede,Fatal,True,3,Paramedic,None,26,36,True,Compressive Asphyxiation,True,St. Mark's Road (Food Stalls),Clear,Word of Mouth,2,Aggressive,Surging,Stretcher,226,12.9714,77.6017,Bus,Angry
2024-05-04 17:00:19,Gate 11,16,Female,35,True,Invalid,41,3.03,4,4,False,None,None,False,0,None,Barricades,16,2,False,,True,At Gate Entrance,Clear,Official Announcement,5,Aggressive,Flowing,No Evacuation,240,12.9787,77.5998,Walking,Excited
2024-05-04 19:40:29,Gate 10,17,Male,25,False,Invalid,0,0.0,0,0,False,None,None,False,0,N/A,None,0,0,False,,False,Watching from Home,N/A,N/A,1,Normal,Not Applicable,No Evacuation,0,,,None,Excited
2024-05-04 16:45:21,Gate 3,18,Female,25,False,Invalid,21,0.5,9,4,False,None,None,False,0,None,None,19,3,False,,False,Cubbon Park Metro Station Exit,Clear,Official Announcement,4,Anxious,Pushing,No Evacuation,178,12.9811,77.5968,Bike,Excited
2024-05-04 17:27:35,Gate 11,19,Female,35,False,Valid,16,3.75,10,2,True,Faint,None,False,0,Stadium Security,Barricades,8,4,False,,True,At Gate Entrance,Clear,Official Announcement,5,Normal,Pushing,No Evacuation,140,12.9787,77.5998,Car,Excited
2024-05-04 20:25:37,Gate 12,20,Male,29,False,Invalid,0,0.0,0,0,False,None,None,False,0,N/A,None,0,5,False,,False,Watching from Home,N/A,N/A,1,Normal,Not Applicable,No Evacuation,0,,,None,Excited
2024-05-04 18:20:30,Gate 7,21,Female,31,False,Valid,83,7.0,6,3,False,None,None,False,0,None,Barricades,25,20,False,,True,Inside Cubbon Park (Near Stadium),Partially Blocked,Word of Mouth,6,Agitated,Surging,No Evacuation,120,12.9779,77.5958,Auto Rickshaw,Angry
2024-05-04 17:48:41,Gate 7,22,Male,20,False,Valid,24,1.56,2,4,False,None,None,False,0,None,None,12,3,False,,True,Queen's Road (Towards Gate 1),Clear,Social Media,2,Normal,Flowing,No Evacuation,166,12.9805,77.5995,Bus,Anxious
2024-05-04 17:35:04,Gate 8,23,Female,33,False,Invalid,28,1.44,5,5,False,None,None,False,0,None,None,12,3,False,,False,At Gate Entrance,Clear,Official Announcement,1,Anxious,Pushing,No Evacuation,73,12.9787,77.5998,Cab/Ola/Uber,Excited
2024-05-04 17:16:18,Gate 6,24,Female,32,False,Invalid,43,4.08,8,5,False,None,None,False,0,None,Barricades,10,4,False,,False,Inside Cubbon Park (Near Stadium),Clear,Official Announcement,5,Normal,Flowing,No Evacuation,173,12.9779,77.5958,Auto Rickshaw,Anxious
2024-05-04 18:16:00,Gate 3,25,Female,28,False,Valid,85,7.0,10,5,True,Stampede,Fatal,True,12,Paramedic,Barricades,26,22,True,Compressive Asphyxiation,True,Cubbon Road (Stadium Side),Partially Blocked,Word of Mouth,6,Panicked,Surging,Stretcher,117,12.9795,77.6011,Bike,Anxious
